run_id,configuration_group,configuration_name,configuration_value,configuration_label,worker_id,prompt_id,prompt_uid,category,mandatory,trial,warmup,ttft_s,tpot_s,prompt_tps,generation_tps,throughput_events_per_s,output_events_count,total_time_s,memory_peak_mb,energy_j,command,prompt,response_text,response_char_count,response_event_count,summary_csv,raw_json,resource_csv,response_events_file
threads:128:na:mandatory_short_capital_france:0:run:mandatory_short_capital_france_trial0,threads,threads,128,threads=128,,mandatory_short_capital_france,mandatory_short_capital_france,short,True,0,False,2.4139576880006643,0.1639344262295082,48.6,6.1,413.61090695088524,974,4.768827889998647,3307.9140625,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""What is the capital of France?"", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",What is the capital of France?,The capital of France is **Paris**. 🇫🇷 ,39,37,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial0.json,results/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial0_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:mandatory_short_capital_france:1:run:mandatory_short_capital_france_trial1,threads,threads,128,threads=128,,mandatory_short_capital_france,mandatory_short_capital_france,short,True,1,False,2.5263247520015284,0.16666666666666666,40.1,6.0,408.0983887268874,974,4.913004109002941,3305.90234375,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""What is the capital of France?"", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",What is the capital of France?,The capital of France is **Paris**. 🇫🇷 ,39,37,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial1.json,results/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial1_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:mandatory_short_capital_france:2:run:mandatory_short_capital_france_trial2,threads,threads,128,threads=128,,mandatory_short_capital_france,mandatory_short_capital_france,short,True,2,False,2.4464971119996335,0.16129032258064516,47.9,6.2,421.9039164996157,974,4.755079615999421,3306.05078125,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""What is the capital of France?"", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",What is the capital of France?,The capital of France is **Paris**. 🇫🇷 ,39,37,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial2.json,results/experiments-x86/threads/threads_128/mandatory_short_capital_france_trial2_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_01_quantization_simple:0:run:short_01_quantization_simple_trial0,threads,threads,128,threads=128,,short_01_quantization_simple,short_01_quantization_simple,short,False,0,False,2.6320214920015133,0.1724137931034483,59.9,5.8,70.86850465769575,1563,24.68695277000006,3307.98046875,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality.,"Imagine you have a super-complex recipe for a delicious cake. It's written in a language you don't understand, with lots of fancy words and measurements.  

**Model quantization is like simplifying that recipe.** You can still get the same delicious cake, but you use simpler language and fewer ingredients. 

**Here's how it works:**

1. **Original Model:**  A powerful AI model, like a cake recipe, is complex and uses a lot of memory (ingredients).
2. **Quantization:** You reduce the precision of the model's numbers. Instead of using 32-bit",545,545,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_01_quantization_simple_trial0.json,results/experiments-x86/threads/threads_128/short_01_quantization_simple_trial0_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_01_quantization_simple:1:run:short_01_quantization_simple_trial1,threads,threads,128,threads=128,,short_01_quantization_simple,short_01_quantization_simple,short,False,1,False,2.5427689230018586,0.1724137931034483,84.2,5.8,71.11762693084661,1563,24.520442637000087,3308.26171875,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality.,"Imagine you have a super-complex recipe for a delicious cake. It's written in a language you don't understand, with lots of fancy words and measurements.  

**Model quantization is like simplifying that recipe.** You can still get the same delicious cake, but you use simpler language and fewer ingredients. 

**Here's how it works:**

1. **Original Model:**  A powerful AI model, like a cake recipe, is complex and uses a lot of memory (ingredients).
2. **Quantization:** You reduce the precision of the model's numbers. Instead of using 32-bit",545,545,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_01_quantization_simple_trial1.json,results/experiments-x86/threads/threads_128/short_01_quantization_simple_trial1_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_01_quantization_simple:2:run:short_01_quantization_simple_trial2,threads,threads,128,threads=128,,short_01_quantization_simple,short_01_quantization_simple,short,False,2,False,2.5525867649994325,0.1724137931034483,86.6,5.8,71.10760700588075,1563,24.53335739999966,3310.17578125,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain model quantization in simple terms. Include why it can reduce memory usage and why it may affect output quality.,"Imagine you have a super-complex recipe for a delicious cake. It's written in a language you don't understand, with lots of fancy words and measurements.  

**Model quantization is like simplifying that recipe.** You can still get the same delicious cake, but you use simpler language and fewer ingredients. 

**Here's how it works:**

1. **Original Model:**  A powerful AI model, like a cake recipe, is complex and uses a lot of memory (ingredients).
2. **Quantization:** You reduce the precision of the model's numbers. Instead of using 32-bit",545,545,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_01_quantization_simple_trial2.json,results/experiments-x86/threads/threads_128/short_01_quantization_simple_trial2_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_02_latency_throughput:0:run:short_02_latency_throughput_trial0,threads,threads,128,threads=128,,short_02_latency_throughput,short_02_latency_throughput,short,False,0,False,2.567423147000227,0.1724137931034483,73.0,5.8,72.66112221481643,1617,24.821414699999877,3310.18359375,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example.,"Here's a breakdown of latency and throughput in language model inference benchmarks, along with a practical example:

**Latency**

* **Definition:** Latency is the time it takes for a language model to process a given input and generate an output. It's essentially how quickly the model responds.
* **Focus:**  Measures the speed of the inference process.
* **Units:** Measured in milliseconds (ms) or seconds (s).
* **Importance:**  Low latency is crucial for real-time applications like chatbots, voice assistants, and interactive content. Users expect immediate responses.

**Throughput**

* **",597,597,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_02_latency_throughput_trial0.json,results/experiments-x86/threads/threads_128/short_02_latency_throughput_trial0_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_02_latency_throughput:1:run:short_02_latency_throughput_trial1,threads,threads,128,threads=128,,short_02_latency_throughput,short_02_latency_throughput,short,False,1,False,2.4950734289996035,0.17543859649122806,74.0,5.7,71.88004222951645,1617,24.990886589999718,3310.046875,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example.,"Here's a breakdown of latency and throughput in language model inference benchmarks, along with a practical example:

**Latency**

* **Definition:** Latency is the time it takes for a language model to process a given input and generate an output. It's essentially how quickly the model responds.
* **Focus:**  Measures the speed of the inference process.
* **Units:** Measured in milliseconds (ms) or seconds (s).
* **Importance:**  Low latency is crucial for real-time applications like chatbots, voice assistants, and interactive content. Users expect immediate responses.

**Throughput**

* **",597,597,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_02_latency_throughput_trial1.json,results/experiments-x86/threads/threads_128/short_02_latency_throughput_trial1_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_02_latency_throughput:2:run:short_02_latency_throughput_trial2,threads,threads,128,threads=128,,short_02_latency_throughput,short_02_latency_throughput,short,False,2,False,2.43380506199901,0.17543859649122806,81.0,5.7,72.3901535687594,1617,24.77109708699936,3322.01171875,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",Explain the difference between latency and throughput in a language model inference benchmark. Give one practical example.,"Here's a breakdown of latency and throughput in language model inference benchmarks, along with a practical example:

**Latency**

* **Definition:** Latency is the time it takes for a language model to process a given input and generate an output. It's essentially how quickly the model responds.
* **Focus:**  Measures the speed of the inference process.
* **Units:** Measured in milliseconds (ms) or seconds (s).
* **Importance:**  Low latency is crucial for real-time applications like chatbots, voice assistants, and interactive content. Users expect immediate responses.

**Throughput**

* **",597,597,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_02_latency_throughput_trial2.json,results/experiments-x86/threads/threads_128/short_02_latency_throughput_trial2_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
threads:128:na:short_03_cpu_inference:0:run:short_03_cpu_inference_trial0,threads,threads,128,threads=128,,short_03_cpu_inference,short_03_cpu_inference,short,False,0,False,2.4657352739995986,0.1724137931034483,91.8,5.8,76.60203771660368,1686,24.475593630999356,3316.09765625,,"[""/eb/x86_64/software/llama.cpp/20260415-foss-2023a/bin/llama-cli"", ""-m"", ""../models/gemma-2-2b-it-Q4_K_M.gguf"", ""-p"", ""List three reasons why running a large language model on CPU-only hardware can be slower than running it on a GPU."", ""-n"", ""128"", ""--no-display-prompt"", ""--simple-io"", ""--single-turn"", ""--temp"", ""0"", ""--seed"", ""42"", ""-t"", ""128""]",List three reasons why running a large language model on CPU-only hardware can be slower than running it on a GPU.,"Here are three reasons why running a large language model (LLM) on CPU-only hardware can be slower than running it on a GPU:

1. **Massive Parallelism:** GPUs are designed for parallel processing, meaning they can handle many calculations simultaneously. LLMs have billions of parameters that need to be processed, and GPUs excel at distributing this workload across multiple cores. CPUs, on the other hand, are designed for sequential processing, making them less efficient for handling the massive parallel computations required by LLMs.

2. **Memory Bandwidth:** GPUs have significantly higher memory bandwidth than CPUs. This means they can transfer data between the GPU",674,674,data/experiments-x86/threads/threads_128/summary.csv,C:/Users/morit/OneDrive - TU Wien/Dokumente/Informatik/SS26/BDA/Inference/data/experiments-x86/threads/threads_128/short_03_cpu_inference_trial0.json,results/experiments-x86/threads/threads_128/short_03_cpu_inference_trial0_resources.csv,data/experiments-x86/analysis_exports/all_runs_response_events.csv
